ResNameCode,area [89],ave SJC inflow volume [1501],ave water temperature [121],bank storage [15],bypass release [1197],bypass release volume [1198],delta storage [47],evaporation [25],inflow [29],inflow volume [30],mod unregulated inflow [123],mod unregulated inflow volume [124],pool elevation [49],power release [39],power release volume [40],release volume [43],side inflow [31],side inflow volume [32],spillway release [46],storage [17],total release [42],unregulated inflow [33],unregulated inflow volume [34]
SILVER JACK [939],89.0,,,,,,47.0,,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
SMITH & MOREHOUSE RESERVOIR [3866],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,46.0,17.0,42.0,,
STARVATION [928],89.0,,,,1197.0,1198.0,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,46.0,17.0,42.0,,
STATELINE [949],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
STEINAKER [927],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
STRAWBERRY RESERVOIR (EXPANDED) [962],89.0,,,,1197.0,1198.0,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
SUMNER [943],,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
TAYLOR PARK [912],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
TRIAL LAKE [3607],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
TURQLACO [100163],,,,,,,,,,,,,98.0,,,,,,,34.0,,,
TWIRESCO [100275],,,,,,,,,,,,,98.0,,,,,,,34.0,,,
UPPER STILLWATER [963],89.0,,,,1197.0,1198.0,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,46.0,17.0,42.0,,
UTAH LAKE [3606],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
VALLECITO [933],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
VEGA [924],,,,,,,47.0,,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
WASHINGTON LAKE [3609],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
WILLARD BAY [925],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
WILLIAMS FORK [2005],,,,,,,,25.0,29.0,,,,49.0,,,,,,,17.0,42.0,,
WILRESCO [100118],,,,,,,,,,,,,98.0,,,,,,,34.0,,,
WLFRESCO [100053],,,,,,,,,,,,,98.0,,,,,,,34.0,,,
