"","DATETIME","SDI_1776","SDI_2091","SDI_1721","SDI_1874"
"309","09/01/2015 00:00",57530.557,786573.90285,9854184,12148.8736111
"310","10/01/2015 00:00",42010.0342258,717806.3515,9927473.8,9403.186828
"311","11/01/2015 00:00",42052.02518,618098.25645,9864877.8,10603.5611111
"312","12/01/2015 00:00",36411.9148516,900022.13895,10086519,10066.172043
"313","01/01/2016 00:00",30089.7577161,946706.87716,10318246.8,10759.5766129
"314","02/01/2016 00:00",27775.1419759,780947.2014,10359515.8,12155.1625598
"315","03/01/2016 00:00",30944.667129,724751.89496,10048301,16386.8790323
"316","04/01/2016 00:00",37850.2433267,732817.03755,9692903.4,17737.3041667
"317","05/01/2016 00:00",42985.7987419,749895.99844,9503864,14420.155914
"318","06/01/2016 00:00",51417.6183467,814271.86542,9330253.6,15460.0972222
"319","07/01/2016 00:00",64118.1468387,1020161.44316,9419273,13516.0080645
"320","08/01/2016 00:00",68683.316371,1006172.75538,9614795.4,11397.1814516
"321","09/01/2016 00:00",56788.6853333,786618.09188,9619668.6,11805.3638889
"322","10/01/2016 00:00",41517.6275806,678806.67266,9710035.2,8417.5120968
"323","11/01/2016 00:00",41779.21632,827769.28539,9727175,12628.8263889
"324","12/01/2016 00:00",36177.6624,962415.87216,10079040,8818.8508065
"325","01/01/2017 00:00",30172.2918968,1008201.65061,10521191.2,8127.7459677
"326","02/01/2017 00:00",28163.5685571,860548.84141,10838030.8,8782.1473214
"327","03/01/2017 00:00",31704.0558452,819240.02493,10707290.4,14819.6196237
"328","04/01/2017 00:00",39068.6977667,714141.90417,10420310.8,16149.3888889
"329","05/01/2017 00:00",44472.2283645,691847.80565,10140655.6,14905.5551075
"330","06/01/2017 00:00",53160.0465067,765676.5653,9971253.2,14527.3
"331","07/01/2017 00:00",66086.036129,938774.34397,9930776,14392.438172
"332","08/01/2017 00:00",70479.4472581,994420.07624,10130650,11112.2177419
"333","09/01/2017 00:00",58346.8613,733326.59773,10181560,10075.6805556
"334","10/01/2017 00:00",42614.6252419,684404.59187,10202470,9694.6958275
"335","11/01/2017 00:00",42495.31395,669714.04192,10089843,12290.6652778
"336","12/01/2017 00:00",36692.5295355,782577.51753,10220874,9664.8655914
"337","01/01/2018 00:00",30380.3795613,938184.45031,10642218,7307.7701613
"338","02/01/2018 00:00",28164.3196607,790071.66966,10703003.4,12367.4136905
"339","03/01/2018 00:00",31609.5862516,869898.08642,10694429.4,13548.452957
"340","04/01/2018 00:00",39040.54684,747768.67559,10386504.6,17063.3388889
