"","DATETIME","PowerRelease","TotalRelease","BypassRelease","SpillwayRelease"
"150","05/07/2024 05:00",8440.25,8440.25,0,0
"151","05/07/2024 06:00",10250.51,10250.51,0,0
"152","05/07/2024 07:00",11193.3,11193.3,0,0
"153","05/07/2024 08:00",10041.91,10041.91,0,0
"154","05/07/2024 09:00",10041.91,10041.91,0,0
"155","05/07/2024 10:00",9235.73,9235.73,0,0
"156","05/07/2024 11:00",9235.73,9235.73,0,0
"157","05/07/2024 12:00",9193.88,9193.88,0,0
"158","05/07/2024 13:00",10719.09,10719.09,0,0
"159","05/07/2024 14:00",10719.09,10719.09,0,0
"160","05/07/2024 15:00",10658.88,10658.88,0,0
"161","05/07/2024 16:00",12037.8,12037.8,0,0
"162","05/07/2024 17:00",12037.8,12037.8,0,0
"163","05/07/2024 18:00",12185.29,12185.29,0,0
"164","05/07/2024 19:00",12167.44,12167.44,0,0
"165","05/07/2024 20:00",12167.44,12167.44,0,0
"166","05/07/2024 21:00",11952.2,11952.2,0,0
"167","05/07/2024 22:00",10690.53,10690.53,0,0
"168","05/07/2024 23:00",8859,8859,0,0
"169","05/08/2024 00:00",7059.9,7059.9,0,0
"170","05/08/2024 01:00",6999.76,6999.76,0,0
"171","05/08/2024 02:00",6999.76,6999.76,0,0
"172","05/08/2024 03:00",7260.7,7260.7,0,0
"173","05/08/2024 04:00",8646.36,8646.36,0,0
"174","05/08/2024 05:00",8646.36,8646.36,0,0
"175","05/08/2024 06:00",10321.74,10321.74,0,0
"176","05/08/2024 07:00",10022.1,10022.1,0,0
"177","05/08/2024 08:00",10022.1,10022.1,0,0
"178","05/08/2024 09:00",9972.81,9972.81,0,0
"179","05/08/2024 10:00",9250.4,9250.4,0,0
"180","05/08/2024 11:00",9250.4,9250.4,0,0
"181","05/08/2024 12:00",9551.84,9551.84,0,0
"182","05/08/2024 13:00",10400.16,10400.16,0,0
"183","05/08/2024 14:00",10400.16,10400.16,0,0
"184","05/08/2024 15:00",10783.09,10783.09,0,0
"185","05/08/2024 16:00",12121.73,12121.73,0,0
"186","05/08/2024 17:00",12121.73,12121.73,0,0
"187","05/08/2024 18:00",12247.72,12247.72,0,0
"188","05/08/2024 19:00",12471.48,12471.48,0,0
"189","05/08/2024 20:00",12471.48,12471.48,0,0
"190","05/08/2024 21:00",11997.63,11997.63,0,0
"191","05/08/2024 22:00",11471.56,11471.56,0,0
"192","05/08/2024 23:00",9089,9089,0,0
"193","05/09/2024 00:00",7207.09,7207.09,0,0
"194","05/09/2024 01:00",7132.91,7132.91,0,0
