,2017,,Pre 2017,,Difference,
 ELEVATION (feet) , Active Storage (million acre-feet) , Area (acres) , Active Storage (million acre-feet) , Area (acres) ,Volume (million acre-feet),Area (acres)
3477, 3.2 ," 42,131 ", 3.4 ," 45,388 ", 0.2 ," 3,257 "
3478, 3.2 ," 42,390 ", 3.4 ," 45,684 ", 0.2 ," 3,294 "
3479, 3.3 ," 42,652 ", 3.5 ," 45,979 ", 0.2 ," 3,328 "
3480, 3.3 ," 42,923 ", 3.5 ," 46,275 ", 0.2 ," 3,352 "
3481, 3.3 ," 43,190 ", 3.6 ," 46,581 ", 0.2 ," 3,391 "
3482, 3.4 ," 43,456 ", 3.6 ," 46,886 ", 0.2 ," 3,431 "
3483, 3.4 ," 43,721 ", 3.7 ," 47,192 ", 0.2 ," 3,471 "
3484, 3.5 ," 43,983 ", 3.7 ," 47,497 ", 0.2 ," 3,514 "
3485, 3.5 ," 44,245 ", 3.8 ," 47,803 ", 0.2 ," 3,558 "
3486, 3.6 ," 44,512 ", 3.8 ," 48,108 ", 0.2 ," 3,597 "
3487, 3.6 ," 44,795 ", 3.9 ," 48,414 ", 0.2 ," 3,619 "
3488, 3.7 ," 45,071 ", 3.9 ," 48,719 ", 0.2 ," 3,648 "
3489, 3.7 ," 45,372 ", 3.9 ," 49,025 ", 0.3 ," 3,653 "
3490, 3.7 ," 45,725 ", 4.0 ," 49,330 ", 0.3 ," 3,606 "
3491, 3.8 ," 46,029 ", 4.0 ," 49,636 ", 0.3 ," 3,607 "
3492, 3.8 ," 46,337 ", 4.1 ," 49,942 ", 0.3 ," 3,605 "
3493, 3.9 ," 46,670 ", 4.1 ," 50,247 ", 0.3 ," 3,578 "
3494, 3.9 ," 47,008 ", 4.2 ," 50,553 ", 0.3 ," 3,544 "
3495, 4.0 ," 47,332 ", 4.2 ," 50,858 ", 0.3 ," 3,526 "
3496, 4.0 ," 47,640 ", 4.3 ," 51,164 ", 0.3 ," 3,524 "
3497, 4.1 ," 47,950 ", 4.3 ," 51,469 ", 0.3 ," 3,519 "
3498, 4.1 ," 48,262 ", 4.4 ," 51,775 ", 0.3 ," 3,513 "
3499, 4.2 ," 48,568 ", 4.5 ," 52,080 ", 0.3 ," 3,513 "
3500, 4.2 ," 48,876 ", 4.5 ," 52,386 ", 0.3 ," 3,510 "
3501, 4.3 ," 49,195 ", 4.6 ," 52,741 ", 0.3 ," 3,545 "
3502, 4.3 ," 49,506 ", 4.6 ," 53,095 ", 0.3 ," 3,589 "
3503, 4.4 ," 49,821 ", 4.7 ," 53,450 ", 0.3 ," 3,629 "
3504, 4.4 ," 50,143 ", 4.7 ," 53,804 ", 0.3 ," 3,661 "
3505, 4.5 ," 50,479 ", 4.8 ," 54,159 ", 0.3 ," 3,679 "
3506, 4.5 ," 50,838 ", 4.8 ," 54,513 ", 0.3 ," 3,675 "
3507, 4.6 ," 51,206 ", 4.9 ," 54,868 ", 0.3 ," 3,662 "
3508, 4.6 ," 51,572 ", 4.9 ," 55,222 ", 0.3 ," 3,650 "
3509, 4.7 ," 51,933 ", 5.0 ," 55,577 ", 0.3 ," 3,644 "
3510, 4.7 ," 52,277 ", 5.0 ," 55,931 ", 0.3 ," 3,654 "
3511, 4.8 ," 52,623 ", 5.1 ," 56,286 ", 0.3 ," 3,662 "
3512, 4.8 ," 52,976 ", 5.2 ," 56,640 ", 0.3 ," 3,664 "
3513, 4.9 ," 53,334 ", 5.2 ," 56,994 ", 0.3 ," 3,661 "
3514, 4.9 ," 53,699 ", 5.3 ," 57,349 ", 0.3 ," 3,650 "
3515, 5.0 ," 54,063 ", 5.3 ," 57,704 ", 0.3 ," 3,641 "
3516, 5.0 ," 54,408 ", 5.4 ," 58,058 ", 0.3 ," 3,650 "
