"","Elevation (ft)","Live Storage (ac-ft)","Total Storage (ac-ft)","Area (acres)","EvapVolMax","EvapVolMaxUp","EvapVolMaxLo","EvapVolMin","RangeError","Range"
"629",3684,21846697.8,23741697.8,148674.4,851904.312,966383.6,728504.56,839485.734200004,0.326530612244898,0.11893952
"630",3684.5,21921129.61,23816129.61,149052.82,854072.6586,968843.33,730358.818,841639.719800003,0.326530612244898,0.119242256
"631",3685,21995750.62,23890750.62,149431.25,856241.0625,971303.125,732213.125,843798.556200001,0.326530612244898,0.119545
"632",3685.5,22070560.86,23965560.86,149809.67,858409.4091,973762.855,734067.383,845962.2718,0.326530612244898,0.119847736
"633",3686,22145560.3,24040560.3,150188.1,860577.813,976222.65,735921.69,848129.520600002,0.326530612244898,0.12015048
"634",3686.5,22220748.96,24115748.96,150566.52,862746.1596,978682.38,737775.948,850297.902600002,0.326530612244898,0.120453216
"635",3687,22296126.82,24191126.82,150944.95,864914.5635,981142.175,739630.255,852466.268400002,0.326530612244898,0.12075596
"636",3687.5,22371693.91,24266693.91,151323.37,867082.9101,983601.905,741484.513,854634.650400002,0.326530612244898,0.121058696
"637",3688,22447450.2,24342450.2,151701.8,869251.314,986061.7,743338.82,856803.021600001,0.326530612244898,0.12136144
"638",3688.5,22523395.71,24418395.71,152080.22,871419.6606,988521.43,745193.078,858971.403600004,0.326530612244898,0.121664176
"639",3689,22599530.42,24494530.42,152458.65,873588.0645,990981.225,747047.385,861139.769400004,0.326530612244898,0.12196692
"640",3689.5,22675854.36,24570854.36,152837.07,875756.4111,993440.955,748901.643,863308.1514,0.326530612244898,0.122269656
"641",3690,22752367.5,24647367.5,153215.5,877924.815,995900.75,750755.95,865476.522600003,0.326530612244898,0.1225724
"642",3690.5,22829069.86,24724069.86,153593.92,880093.1616,998360.48,752610.208,867644.904600002,0.326530612244898,0.122875136
"643",3691,22905961.42,24800961.42,153972.35,882261.5655,1000820.275,754464.515,869813.270400003,0.326530612244898,0.12317788
"644",3691.5,22983042.21,24878042.21,154350.77,884429.9121,1003280.005,756318.773,871981.652400002,0.326530612244898,0.123480616
"645",3692,23060312.2,24955312.2,154729.2,886598.316,1005739.8,758173.08,874150.023600001,0.326530612244898,0.12378336
"646",3692.5,23137771.41,25032771.41,155107.62,888766.6626,1008199.53,760027.338,876318.405600004,0.326530612244898,0.124086096
"647",3693,23215419.82,25110419.82,155486.05,890935.0665,1010659.325,761881.645,878486.771400005,0.326530612244898,0.12438884
"648",3693.5,23293257.46,25188257.46,155864.47,893103.4131,1013119.055,763735.903,880655.153400004,0.326530612244898,0.124691576
"649",3694,23371284.3,25266284.3,156242.9,895271.817,1015578.85,765590.21,882823.524600003,0.326530612244898,0.12499432
"650",3694.5,23449500.36,25344500.36,156621.32,897440.1636,1018038.58,767444.468,884991.906600002,0.326530612244898,0.125297056
"651",3695,23527905.62,25422905.62,156999.75,899608.5675,1020498.375,769298.775,887160.272400003,0.326530612244898,0.1255998
"652",3695.5,23606500.11,25501500.11,157378.17,901776.9141,1022958.105,771153.033,889328.654400002,0.326530612244898,0.125902536
"653",3696,23685283.8,25580283.8,157756.6,903945.318,1025417.9,773007.34,891497.025600005,0.326530612244898,0.12620528
"654",3696.5,23764256.71,25659256.71,158135.02,906113.6646,1027877.63,774861.598,893665.407600004,0.326530612244898,0.126508016
"655",3697,23843418.82,25738418.82,158513.45,908282.0685,1030337.425,776715.905,895833.773400001,0.326530612244898,0.12681076
"656",3697.5,23922770.16,25817770.16,158891.87,910450.4151,1032797.155,778570.163,898002.155400004,0.326530612244898,0.127113496
"657",3698,24002310.7,25897310.7,159270.3,912618.819,1035256.95,780424.47,900170.526600003,0.326530612244898,0.12741624
"658",3698.5,24082040.46,25977040.46,159648.72,914787.1656,1037716.68,782278.728,902338.908600003,0.326530612244898,0.127718976
"659",3699,24161959.42,26056959.42,160027.15,916955.5695,1040176.475,784133.035,904507.274400003,0.326530612244898,0.12802172
"660",3699.5,24242067.61,26137067.61,160405.57,919123.9161,1042636.205,785987.293,906675.656400003,0.326530612244898,0.128324456
"661",3700,24322365,26217365,160784,921292.32,1045096,787841.6,908844.027600002,0.326530612244898,0.1286272
"662",3700.5,24402858.78,26297858.78,161191.12,923625.1176,1047742.28,789836.488,911019.579600003,0.326530612244898,0.128952896
"663",3701,24483556.12,26378556.12,161598.25,925957.9725,1050388.625,791831.425,913209.475400005,0.326530612244898,0.1292786
"664",3701.5,24564457.03,26459457.03,162005.37,928290.7701,1053034.905,793826.313,915413.727400005,0.326530612244898,0.129604296
"665",3702,24645561.5,26540561.5,162412.5,930623.625,1055681.25,795821.25,917632.328600001,0.326530612244898,0.12993
"666",3702.5,24726869.53,26621869.53,162819.62,932956.4226,1058327.53,797816.138,919865.280600004,0.326530612244898,0.130255696
"667",3703,24808381.12,26703381.12,163226.75,935289.2775,1060973.875,799811.075,922112.576400004,0.326530612244898,0.1305814
"668",3703.5,24890096.28,26785096.28,163633.87,937622.0751,1063620.155,801805.963,924374.228400003,0.326530612244898,0.130907096
"669",3704,24972015,26867015,164041,939954.93,1066266.5,803800.9,926650.229600001,0.326530612244898,0.1312328
"670",3704.5,25054137.28,26949137.28,164448.12,942287.7276,1068912.78,805795.788,928940.581600003,0.326530612244898,0.131558496
"671",3705,25136463.12,27031463.12,164855.25,944620.5825,1071559.125,807790.725,931245.277400002,0.326530612244898,0.1318842
"672",3705.5,25218992.53,27113992.53,165262.37,946953.3801,1074205.405,809785.613,933564.329400003,0.326530612244898,0.132209896
"673",3706,25301725.5,27196725.5,165669.5,949286.235,1076851.75,811780.55,935893.858800001,0.326530612244898,0.1325356
"674",3706.5,25384662.03,27279662.03,166076.62,951619.0326,1079498.03,813775.438,938226.686400004,0.326530612244898,0.132861296
"675",3707,25467802.12,27362802.12,166483.75,953951.8875,1082144.375,815770.375,940559.508600004,0.326530612244898,0.133187
"676",3707.5,25551145.78,27446145.78,166890.87,956284.6851,1084790.655,817765.263,942892.336200003,0.326530612244898,0.133512696
"677",3708,25634693,27529693,167298,958617.54,1087437,819760.2,945225.163800001,0.326530612244898,0.1338384
"678",3708.5,25718443.78,27613443.78,167705.12,960950.3376,1090083.28,821755.088,947557.991400003,0.326530612244898,0.134164096
"679",3709,25802398.12,27697398.12,168112.25,963283.1925,1092729.625,823750.025,949890.813600004,0.326530612244898,0.1344898
"680",3709.5,25886556.03,27781556.03,168519.37,965615.9901,1095375.905,825744.913,952223.641200002,0.326530612244898,0.134815496
"681",3710,25970917.5,27865917.5,168926.5,967948.845,1098022.25,827739.85,954556.468800001,0.326530612244898,0.1351412
"682",3710.5,26055482.53,27950482.53,169333.62,970281.6426,1100668.53,829734.738,956889.296400003,0.326530612244898,0.135466896
"683",3711,26140251.12,28035251.12,169740.75,972614.4975,1103314.875,831729.675,959222.118600003,0.326530612244898,0.1357926
"684",3711.5,26225223.28,28120223.28,170147.87,974947.2951,1105961.155,833724.563,961554.946200002,0.326530612244898,0.136118296
"685",3800,1e+09,1001895000,250000,1432500,1625000,1225000,63047790.6283121,0.326530612244898,0.2
